Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dxa_t,laboratory,,notes,"Specify T score(For adult subjects)",,,,,,,"[bone_studies(2)] = ""1""",,,,,,
date_b_other,laboratory,,text,Date of Other Bone Study,,,date_ymd,,,,"[bone_studies(3)] = ""1""",y,,,,,
other_b_method,laboratory,,text,"Type and Location of Other Bone Study(Example: X-ray of Right Foot)",,,,,,,"[bone_studies(3)] = ""1""",,,,,,
results_b_other,laboratory,,checkbox,Results of Other Bone Study,"0, Normal | 1, Fracture | 2, Osteopenia | 3, Other",,,,,,"[bone_studies(3)] = ""1""",,,,,,
other_b_other,laboratory,,notes,Specify other results ,,,,,,,[bone_studies(3)] = '1' and [results_b_other(3)] = '1',,,,,,
cardiac_type,laboratory,"Cardiac studies(Within the last 6 months)",checkbox,Type of Cardiac Studies patient has received within the last 6 months,"1, ECG | 2, Echocardiogram",,,,,,"[lab_type(5)]=""1""",,,,,,
date_ecg,laboratory,,text,Date of ECG Performed,,YYYY-MM-DD,date_ymd,,,,"[cardiac_type(1)] = ""1""",y,,,,,
result_ecg,laboratory,,radio,Results of ECG,"0, Normal | 1, Abnormal",,,,,,"[cardiac_type(1)] = ""1""",,,,,,
ecg_abnormal,laboratory,,notes,Specify Abnormal Findings of ECG,,,,,,,"[result_ecg]=""1""",,,,,,
date_echo_gram,laboratory,,text,Date of Echocardiogram ,,YYYY-MM-DD,date_ymd,,,,"[cardiac_type(2)] = ""1""",y,,,,,
result_echo_gram,laboratory,,radio,Results of Echocardiogram,"0, Normal | 1, Abnormal",,,,,,"[cardiac_type(2)] = ""1""",,,,,,
echo_gram_abnormal,laboratory,,notes,Specify Abnormal Findings of Echocardiogram,,,,,,,"[result_echo_gram]=""1""",,,,,,
ejection_frac,laboratory,,text,Ejection fraction ,,,,,,,"[result_echo_gram]=""0"" or [result_echo_gram]=""1""",,,,,,
date_renal,laboratory,"Renal Ultrasound(Within the last 6 months)",text,Date of Renal Ultrasound,,YYYY-MM-DD,date_ymd,,,,"[lab_type(6)]=""1""",y,,,,,
result_renal,laboratory,,radio,Results of Renal Ultrasound,"0, Normal | 1, Abnormal",,,,,,"[lab_type(6)]=""1""",,,,,,
renal_abnormal,laboratory,,notes,Specify Abnormal Findings of Renal Ultrasound,,,,,,,"[result_renal]=""1""",,,,,,
date_pdq,patient_directed_questionnaire,,text,Date of Questionnaire,,YYYY-MM-DD,date_ymd,,,,,y,,,,,
wound_heel,patient_directed_questionnaire,"Skin and Skin CareConsider the LAST 4 WEEKS when answering these questions",radio,New Wounds (Blisters and/or Open Sores) typically heal within: ,"0, less than 1 week | 1, 1-2 weeks | 2, >2-4 weeks | 3, >4-6 weeks | 4, >6 weeks",Select one,,,,,,y,,,,,
dressing,patient_directed_questionnaire,,radio,Have dressings (bandages) been used?,"1, Yes | 0, No",,,,,,,y,,,,,
num_dressing,patient_directed_questionnaire,,radio,How often have you typically performed dressing changes per week?,"0, 1x/ week | 2, 2x/week | 3, 3-4x/week | 4, 5-6x/week | 5, Daily/7x per week | 6, 7+/More than once daily",Select one,,,,,"[dressing]=""1""",,,,,,
dur_dressing,patient_directed_questionnaire,,radio,How long does your typical dressing change last?,"0, Less than 30 minutes | 1, 30 to 60 minutes | 2, 60 to 90 minutes | 3, 90 to 120 minutes | 4, Longer than 2 hours",Select one,,,,,"[dressing]=""1""",,,,,,
assist_dressing,patient_directed_questionnaire,,radio,Do you require help (assistance) with dressing changes? ,"0, No, I'm independent | 1, Yes, Require assistance of 1 person | 2, Yes, Require assistance of 2 or more people",Select one,,,,,"[dressing]=""1""",,,,,,
other_therapy_dress,patient_directed_questionnaire,,checkbox,Which of the following interventions do you use during dressing changes or stressful situations?,"0, None | 1, Vibratory device (e.g. Buzzy) | 2, Visual distraction (e.g. iPad, movie) | 3, Biofeedback/Relaxation techniques | 4, Other",Check all that apply,,,,,"[dressing]=""1""",,,,,,
other_therapy_specify,patient_directed_questionnaire,,notes,Specify the Other Interventions used during dressing changes:,,,,,,,"[other_therapy_dress(4)]=""1""",,,,,,
bathing_per_week,patient_directed_questionnaire,,radio,How often do you typically cleanse the skin? ,"0, Never | 1, 1x/ week | 2, 2x/week | 3, 3-4x/week | 4, 5-6x/week | 5, Daily/7x per week | 6, 7+/More than once daily",Select one,,,,,,y,,,,,
bathing_clean,patient_directed_questionnaire,,checkbox,What method is used to cleanse the skin?,"0, Bath | 1, Shower | 2, Sponge Bath | 3, Skin is not cleansed | 4, Other",Check all that apply,,,,,,y,,,,,
bathing_clean_other,patient_directed_questionnaire,,notes,Specify the Other Method of cleansing,,,,,,,"[bathing_clean(4)]=""1""",,,,,,
bathing_solvent,patient_directed_questionnaire,,checkbox,Are bath additives used?,"0, No, None | 1, Yes, Salt | 2, Yes, Vinegar | 3, Yes, Bleach",Check all that apply,,,,,,y,,,,,
stridor_freq,patient_directed_questionnaire,"Airway and Eye InvolvementConsider the LAST 4 WEEKS when answering these questions",radio,How often have you had noisy breathing or a hoarse voice?,"0, Have NOT had noisy breathing or a hoarse voice | 1, 1-2 days/month | 2, 1-2 days/week | 3, >3 days/week",Select one,,,,,,y,,,,,
inhaled_steroids,patient_directed_questionnaire,,radio,How often have you used inhaled steroids because of your EB?,"0, Not used | 1, 1-2 days/month | 2, 1-2 days/week | 3, >3 days/week",Select one,,,,,,y,,,,,
ocular_redness,patient_directed_questionnaire,,radio,How often have your eyes been red and/or had eye sores (erosions)? ,"0, Have NOT had eye redness or eye sores | 1, 1-2 days/month | 2, 1-2 days/week | 3, >3 days/week",Select one,,,,,,,,,,,
swallow_sym,patient_directed_questionnaire,"Gastrointestinal InvolvementConsider the LAST 4 WEEKS when answering these questions",radio,How are you able to swallow?,"0, No problems swallowing | 1, Unable to swallow formed solids (meat, for example) | 2, Unable to swallow soft solids | 3, Unable to swallow liquids | 4, Unable to swallow anything",Select one,,,,,,y,,,,,
swallow_pain,patient_directed_questionnaire,,radio,Do you have pain with swallowing?,"1, Yes | 0, No",,,,,,,y,,,,,
food_gi_tube,patient_directed_questionnaire,,radio,How much of your food is given through your G-tube?,"0, None | 1, Some of my food | 2, Most of my food | 3, All of my food",Select one,,,,,,y,,,,,
ambulation,patient_directed_questionnaire,"Getting around (Ambulation)Consider the LAST 4 WEEKS when answering these questions",radio,Which option best describes how you get around?,"0, Get around without assistance | 1, Walker/Upright assistance | 2, Wheelchair use < 30% | 3, Wheelchair use 30-70% | 4, Wheelchair use >70% | 6, Confined to bed | 7, Not yet walking | 8, Other",Select one,,,,,,y,,,,,
ambulation_other,patient_directed_questionnaire,,notes,Specify Other Means of getting around,,,,,,,"[ambulation]=""8""",,,,,,
school_participation,patient_directed_questionnaire,"School participationConsider the LAST 6 MONTHS when answering these questions",radio,Have you been participating in school or educational activities?,"1, Yes | 0, No | 2, NA (Not Applicable)",,,,,,,y,,,,,
school_part_freq,patient_directed_questionnaire,,radio,"On average, how many days per week do you typically attend school?","1, 1 day per week | 2, 2 days per week | 3, 3 days per week | 4, 4 days per week | 5, 5 days per week",Select one,,,,,"[school_participation]=""1""",,,,,,
school_part_type,patient_directed_questionnaire,,checkbox,What type of school do you attend?,"0, Mainstream (Public or Private School) | 1, Home School | 2, Other",Check all that apply,,,,,"[school_participation]=""1""",,,,,,
school_part_other,patient_directed_questionnaire,,notes,Specify Other School participation,,,,,,,"[school_participation]=""1"" and [school_part_type(2)]=""1""",,,,,,
job,patient_directed_questionnaire,"EmploymentConsider the LAST 6 MONTHS when answering these questions",radio,"If you are 18 years old or older, are you employed?","1, Yes | 0, No | 2, NA",,,,,,,,,,,,
jobtype,patient_directed_questionnaire,,radio,"If employed, how much do you work?","0, Full Time | 1, Part Time",,,,,,"[job]=""1""",,,,,,
date_assess,iscoreb_patient_assessment,,text,Date of Assessment,,YYYY-MM-DD,date_ymd,,,,,y,,,,,
ipa_overallpain,iscoreb_patient_assessment,,radio,Please rate how much OVERALL PAIN you (your child) typically had in the last 4 weeks:,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Worst Possible",Select one,,,,,,y,,,,,
ipa_skinpain,iscoreb_patient_assessment,,radio,Please rate how much SKIN PAIN you (your child) typically had in the last 4 weeks:,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Worst Possible",Select one,,,,,,y,,,,,
ipa_mouthpain,iscoreb_patient_assessment,,radio,Please rate how much MOUTH PAIN you (your child) typically had in the last 4 weeks:,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Worst Possible",Select one,,,,,,y,,,,,
ipa_eyepain,iscoreb_patient_assessment,,radio,Please rate how much EYE PAIN you (your child) typically had in the last 4 weeks:,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Worst Possible",Select one,,,,,,y,,,,,
ipa_bonepain,iscoreb_patient_assessment,,radio,Please rate how much BONE/JOINT PAIN you (your child) typically had in the last 4 weeks:,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Worst Possible",Select one,,,,,,y,,,,,
ipa_itch,iscoreb_patient_assessment,,radio,Please rate how much ITCH you (your child) typically had in the last 4 weeks:,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Worst Possible",Select one,,,,,,y,,,,,
ipa_eatdrink,iscoreb_patient_assessment,,radio,Please rate how much DIFFICULTY WITH EATING/DRINKING you (your child) typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to have drink",Select one,,,,,,y,,,,,
ipa_bm,iscoreb_patient_assessment,,radio,Please rate how much DIFFICULTY HAVING A REGULAR BOWEL MOVEMENT (BM) you (your child) typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to have a BM",Select one,,,,,,y,,,,,
ipa_urine,iscoreb_patient_assessment,,radio,Please rate how much DIFFICULTY URINATING/VOIDING you (your child) typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to urinate",Select one,,,,,,y,,,,,
ipa_sleep,iscoreb_patient_assessment,,radio,Please rate how much SLEEP DISTURBANCE (difficulty falling or staying asleep) you (your child) typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to sleep",Select one,,,,,,y,,,,,
ipa_move,iscoreb_patient_assessment,,radio,Please rate how much DIFFICULTY MOVING OR GETTING AROUND you (your child) typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to move",Select one,,,,,,y,,,,,
ipa_hands,iscoreb_patient_assessment,,radio,Please rate how much DIFFICULTY USING YOUR HANDS you (your child) typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to use hands",Select one,,,,,,y,,,,,
ipa_mood,iscoreb_patient_assessment,,radio,Please rate how you (your child) typically felt in the last 4 weeks:,"0, Happy | 2, Mostly Happy | 4, Somewhat Unhappy | 6, Unhappy | 8, Very unhappy",Select one,,,,,,y,,,,,
ipa_leisure,iscoreb_patient_assessment,,radio,"Please rate how much IMPACT ON LEISURELY ACTIVITIES (play, relaxation, etc.) you (your child's) disease typically had in the last 4 weeks: ","0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to do anything",Select one,,,,,,y,,,,,
ipa_workschool,iscoreb_patient_assessment,,radio,Please rate how much IMPACT ON WORK/SCHOOL/LEARNING your (your child's) disease typically had in the last 4 weeks: ,"0, None | 2, Mild | 4, Moderate | 6, Severe | 8, Unable to go to work/school/learn",Select one,,,,,,y,,,,,
ipa_rcptsubsco,iscoreb_patient_assessment,,calc,"PATIENT SUBSCORE, calculated by REDCap","sum([ipa_overallpain],[ipa_skinpain],[ipa_mouthpain],[ipa_eyepain],[ipa_bonepain],[ipa_itch],[ipa_eatdrink],[ipa_bm],[ipa_urine],[ipa_sleep],[ipa_move],[ipa_hands],[ipa_mood],[ipa_leisure],[ipa_workschool])",Calculated field (Internal Use Only),,,,,,,,,,,
